Tree Conservation Biology (TCB) ID,Accession ID,Both paper labels transfered into bag?,"Leaf Tissue Condition (Moldy, Necrotic, or Good)","Leaf Tissue Color (Green, Brown, Black)",Weight (g),Comments,Transcriber comments,Transcribe Initials,Double checked?
TCB-06008,QUBR_2022_0723,TRUE,Good,Green/Brown,0.041,,,DTB,TRUE
TCB-06009,QUBR_2022_0724,TRUE,Good,Green,0.016,,,DTB,TRUE
TCB-06010,QUBR_2022_0726,TRUE,Good,Green,0.033,,,DTB,TRUE
TCB-06011,QUBR_2022_0727,TRUE,Good,Green,0.019,,,DTB,TRUE
TCB-06012,QUBR_2022_0728,TRUE,Good,Green,0.014,,,DTB,TRUE
TCB-06013,QUBR_2022_0730,TRUE,Good?,Green,0.055,white splotches,,DTB,TRUE
TCB-06014,QUBR_2022_0731,TRUE,Moldy?,Green/Brown,0.031,black and white fuzzy spots,,DTB,TRUE
TCB-06015,QUBR_2022_0732,TRUE,Good,Green/Brown,0.080,small brown spots,,DTB,TRUE
TCB-06016,QUBR_2022_0733,TRUE,Good,Green,0.073,,,DTB,TRUE
TCB-06017,QUBR_2022_0734,TRUE,Good,Green,0.077,,,DTB,TRUE
TCB-06018,QUBR_2022_0735,TRUE,Good,Green,0.123,,,DTB,TRUE
TCB-06019,QUBR_2022_0738,TRUE,Good,Green,0.027,a few small holes in leaf tissue,,DTB,TRUE
TCB-06020,QUBR_2022_0739,TRUE,Good,Green,0.059,,,DTB,TRUE
TCB-06021,QUBR_2022_0740,TRUE,Good?,Green/Brown,0.038,brown patches covering leaf tissue,,DTB,TRUE
TCB-06022,QUBR_2022_0745,TRUE,Good,Green,0.040,,,DTB,TRUE
TCB-06023,QUBR_2022_0747,TRUE,Good,Green,0.057,,,DTB,TRUE
TCB-06024,QUBR_2022_0748,TRUE,Good,Green,0.021,,,DTB,TRUE
TCB-06025,QUBR_2022_0750,TRUE,Good,Green,0.078,,,DTB,TRUE
TCB-06026,QUBR_2022_0751,TRUE,Good,Green,0.043,,,DTB,TRUE
TCB-06027,QUBR_2022_0752,TRUE,Good,Green,0.112,,,DTB,TRUE
TCB-06028,QUBR_2022_0753,TRUE,1 Good/1 Necrotic?,Green/Black,0.069,necrotic leaf is dark green/black with several white patches,,DTB,TRUE
TCB-06029,QUBR_2022_0754,TRUE,Good,Green,0.039,,,DTB,TRUE
TCB-06030,QUBR_2022_0756,TRUE,Good,Green,0.062,,,DTB,TRUE
TCB-06031,QUBR_2022_0757,TRUE,Good,Green,0.076,,,DTB,TRUE
TCB-06032,QUBR_2022_0758,TRUE,Good,Green,0.096,,,DTB,TRUE
TCB-06033,QUBR_2022_0759,TRUE,Necrotic?,Green/Black,0.042,dark green tissue with faded black eedges and brown spots,,DTB,TRUE
TCB-06034,QUBR_2022_0761,TRUE,Good,Green,0.049,,,DTB,TRUE
TCB-06035,QUBR_2022_0762,TRUE,Good,Green,0.057,,,DTB,TRUE
TCB-06036,QUBR_2022_0763,TRUE,Good,Green,0.125,,,DTB,TRUE
TCB-06037,QUBR_2022_0765,TRUE,Good,Green,0.067,,,DTB,TRUE
TCB-06038,QUBR_2022_0766,TRUE,Good,Green,0.065,,,DTB,TRUE
TCB-06039,QUBR_2022_0767,TRUE,Good,Green,0.097,,,DTB,TRUE
TCB-06040,QUBR_2022_0769,TRUE,Good,Green,0.052,,,DTB,TRUE
TCB-06041,QUBR_2022_0770,TRUE,Good,Green,0.034,,,DTB,TRUE
TCB-06042,QUBR_2022_0771,TRUE,Good?,Green/Brown,0.045,,,DTB,TRUE
TCB-06043,QUBR_2022_0772,TRUE,Good,Green/Brown,0.075,,,DTB,TRUE
TCB-06044,QUBR_2022_0774,TRUE,Good,Green,0.028,,,DTB,TRUE
TCB-06045,QUBR_2022_0775,TRUE,Good,Green,0.076,,,DTB,TRUE
TCB-06046,QUBR_2022_0776,TRUE,Good?,Green,0.061,,,DTB,TRUE
TCB-06047,QUBR_2022_0777,TRUE,Good,Green,0.086,,,DTB,TRUE
TCB-06048,QUBR_2022_0778,TRUE,Good,Green,0.052,,,DTB,TRUE
TCB-06049,QUBR_2022_0779,TRUE,Good,Green,0.009,,,DTB,TRUE
TCB-06050,QUBR_2022_0780,TRUE,Good,Green,0.023,,,DTB,TRUE
TCB-06051,QUBR_2022_0782,TRUE,Good,Green,0.022,,,DTB,TRUE
TCB-06052,QUBR_2022_0953,TRUE,Good,Green,0.124,,,DTB,TRUE
TCB-06053,QUBR_2022_0954,TRUE,Good,Green,0.070,,,DTB,TRUE
TCB-06054,QUBR_2022_0955,TRUE,Good,Green,0.028,,,DTB,TRUE
TCB-06055,QUBR_2022_0956,TRUE,Good,Green,0.120,,,DTB,TRUE
TCB-06056,QUBR_2022_0957,TRUE,Good,Green,0.024,,,DTB,TRUE
TCB-06057,QUBR_2022_0958,TRUE,Good,Green,0.110,,,DTB,TRUE
TCB-06058,QUBR_2022_0959,TRUE,1 Good; 1 Necrotic?,Green,0.120,1/2 darker green color,,DTB,TRUE
TCB-06059,QUBR_2022_0962,TRUE,Good,Green,0.033,,,DTB,TRUE
TCB-06060,QUBR_2022_0963,TRUE,Good,Green,0.132,,,DTB,TRUE
TCB-06061,QUBR_2022_0964,TRUE,Good,Green,0.114,,,DTB,TRUE
TCB-06062,QUBR_2022_0965,TRUE,Good,Green,0.074,,,DTB,TRUE
TCB-06063,QUBR_2022_0966,TRUE,Good,Green,0.073,,,DTB,TRUE
TCB-06064,QUBR_2022_0967,TRUE,Good,Green,0.086,,,DTB,TRUE
TCB-06065,QUBR_2022_0968,TRUE,Good,Green,0.027,,,DTB,TRUE
TCB-06066,QUBR_2022_0969,TRUE,Good,Green,0.109,,,DTB,TRUE
TCB-06067,QUBR_2022_0972,TRUE,Good,Green,0.119,,,DTB,TRUE
TCB-06068,QUBR_2022_0973,TRUE,Good,Green,0.049,,,DTB,TRUE
TCB-06069,QUBR_2022_0974,TRUE,Good,Green,0.034,,,DTB,TRUE
TCB-06070,QUBR_2022_0975,TRUE,Good,Green,0.029,,,DTB,TRUE
TCB-06071,QUBR_2022_0976,TRUE,1 Good; 1 Moldy?,Green,0.112,,,DTB,TRUE
TCB-06072,QUBR_2022_0977,TRUE,Good,Green,0.081,,,DTB,TRUE
TCB-06073,QUBR_2022_0978,TRUE,Moldy?,Green,0.055,white spots,,DTB,TRUE
TCB-06074,QUBR_2022_0979,TRUE,Good,Green,0.306,,,DTB,TRUE
TCB-06075,QUBR_2022_0980,TRUE,Moldy?,Green,0.041,white/brown spots,,DTB,TRUE
TCB-06076,QUBR_2022_0981,TRUE,Good,Green,0.045,,,DTB,TRUE
TCB-06077,QUBR_2022_0982,TRUE,Good,Green,0.080,,,DTB,TRUE
TCB-06078,QUBR_2022_0984,TRUE,Good,Green,0.055,,,DTB,TRUE
TCB-06079,QUBR_2022_0985,TRUE,Good,Green,0.043,,,DTB,TRUE
TCB-06080,QUBR_2022_0986,TRUE,Good?,Green,0.078,white splotches,,DTB,TRUE
TCB-06081,QUBR_2022_0987,TRUE,Good,Green,0.021,,,DTB,TRUE
TCB-06082,QUBR_2022_0989,TRUE,Good,Green,0.056,,,DTB,TRUE
TCB-06083,QUBR_2022_0990,TRUE,Good,Green,0.098,,,DTB,TRUE
TCB-06084,QUBR_2022_0992,TRUE,Good,Green,0.025,,,DTB,TRUE
TCB-06085,QUBR_2022_0993,TRUE,Good,Green,0.084,,,DTB,TRUE
TCB-06086,QUBR_2022_0994,TRUE,Good?,Green,0.099,white splotches,,DTB,TRUE
TCB-06087,QUBR_2022_0995,TRUE,Good,Green,0.116,,,DTB,TRUE
TCB-06088,QUBR_2022_0996,TRUE,Good,Green,0.071,some white splotches,,DTB,TRUE
TCB-06089,QUBR_2022_0998,TRUE,Good?,Green,0.056,white splotches with some brown tissue at bottom of leaf,,DTB,TRUE
TCB-06090,QUBR_2022_0999,TRUE,Good,Green,0.185,,,DTB,TRUE
TCB-06091,QUBR_2022_1010,TRUE,Good,Green,0.115,,,DTB,TRUE
TCB-06092,QUBR_2022_1011,TRUE,1 Good; 1 Necrotic,Green/Brown,0.058,1 leaf undergoing necrosis,,DTB,TRUE
TCB-06093,QUBR_2022_1012,TRUE,Necrotic,Green/Brown,0.040,leaf tissue is beginning necrosis- brown edges,,DTB,TRUE
TCB-06094,QUBR_2022_1013,TRUE,Good,Green,0.116,,,DTB,TRUE
TCB-06095,QUBR_2022_1014,TRUE,Good,Green,0.039,,,DTB,TRUE
TCB-06096,QUBR_2022_1015,TRUE,Good,Green,0.164,,,DTB,TRUE
TCB-06097,QUBR_2022_1017,TRUE,Good?,Green,0.050,white splotches,,DTB,TRUE
TCB-06098,QUBR_2022_1018,TRUE,Good?,Green/Brown,0.053,tips of leaves are brown; white splotches,,DTB,TRUE
TCB-06099,QUBR_2022_1019,TRUE,Good,Green,0.079,,,DTB,TRUE
TCB-06100,QUBR_2022_1020,TRUE,Good,Green,0.038,,,DTB,TRUE
TCB-06101,QUBR_2022_1021,TRUE,Good,Green,0.029,,,DTB,TRUE
TCB-06102,QUBR_2022_1022,TRUE,Good,Green,0.046,,,DTB,TRUE
TCB-06103,QUBR_2022_1023,TRUE,Good?,Green,0.106,white and brown patches,,DTB,TRUE
TCB-06104,QUBR_2022_1024,TRUE,Good?,Green,0.088,scattered white patches,,DTB,TRUE
TCB-06105,QUBR_2022_1025,TRUE,Good,Green,0.135,,,DTB,TRUE
TCB-06106,QUBR_2022_1026,TRUE,Good,Green,0.032,,,DTB,TRUE
TCB-06107,QUBR_2022_1027,TRUE,Good?,Green,0.154,white splotches,,DTB,TRUE
TCB-06108,QUBR_2022_1028,TRUE,Good,Green,0.139,,,DTB,TRUE
TCB-06109,QUBR_2022_1029,TRUE,Good?,Green,0.012,small brown spots,,DTB,TRUE
TCB-06110,QUBR_2022_1030,TRUE,Necrotic,Green/Brown,0.013,beginning necrosis on edges,,DTB,TRUE
TCB-06111,QUBR_2022_1031,TRUE,Good?,Green/Brown,0.019,some brown tips on leaf tissue,,DTB,TRUE
TCB-06112,QUBR_2022_1032,TRUE,Good,Green/Brown,0.038,,,DTB,TRUE
TCB-06113,QUBR_2022_1050,TRUE,Good?,Green,0.013,white spots,,DTB,TRUE
TCB-06114,QUBR_2022_1053,TRUE,Good?,Green,0.061,white splotches and black spots,,DTB,TRUE
TCB-06115,QUBR_2022_1055,TRUE,Necrotic?,Green/Brown,0.073,leaf tissue fading from green to brown,,DTB,TRUE
TCB-06116,QUBR_2022_1056,TRUE,Good,Green,0.137,,,DTB,TRUE
TCB-06117,QUBR_2022_1057,TRUE,Good,Green,0.039,,,DTB,TRUE
TCB-06118,QUBR_2022_1058,TRUE,Good,Green,0.068,,,DTB,TRUE
TCB-06119,QUBR_2022_1063,TRUE,Good?,Green,0.061,lots of white spots,,DTB,TRUE
TCB-06120,QUBR_2022_1069,TRUE,Good,Green,0.036,,,DTB,TRUE
TCB-06121,QUBR_2022_1071,TRUE,Good,Green,0.118,large brown/gray patch,,DTB,TRUE
TCB-06122,QUBR_2022_1072,TRUE,Good,Green,0.073,,,DTB,TRUE
TCB-06123,QUBR_2022_1073,TRUE,Good,Green,0.074,,,DTB,TRUE
TCB-06124,QUBR_2022_1074,TRUE,Good,Green,0.037,,,DTB,TRUE
TCB-06125,QUBR_2022_1076,TRUE,Good,Green,0.055,,,DTB,TRUE
TCB-06126,QUBR_2022_1095,TRUE,Good,Green,0.078,,,DTB,TRUE
TCB-06127,QUBR_2022_1096,TRUE,Good,Green,0.047,,,DTB,TRUE
TCB-06128,QUBR_2022_1099,TRUE,Good,Green,0.031,,,DTB,TRUE
TCB-06129,QUBR_2022_1100,TRUE,Good,Green,0.049,,,DTB,TRUE
TCB-06130,QUBR_2022_1109,TRUE,Good,Green,0.037,,,DTB,TRUE
TCB-06131,QUBR_2022_1094,TRUE,Good,Green,0.112,,,DTB,TRUE
TCB-06132,QUBR_2022_1093,TRUE,Good,Green,0.035,,,DTB,TRUE
TCB-06133,QUBR_2022_0900,TRUE,Good,Green,0.024,,,DTB,TRUE
TCB-06134,QUBR_2022_0901,TRUE,Good?,Green,0.074,dark color on margins,,DTB,TRUE
TCB-06135,QUBR_2022_0902,TRUE,Good,Green,0.053,,,DTB,TRUE
TCB-06136,QUBR_2022_0903,TRUE,Good,Green,0.158,,,DTB,TRUE
TCB-06137,QUBR_2022_0905,TRUE,Good,Green,0.144,,,DTB,TRUE
TCB-06138,QUBR_2022_0906,TRUE,Good,Green,0.092,,,DTB,TRUE
TCB-06139,QUBR_2022_0907,TRUE,Good,Green,0.083,,,DTB,TRUE
TCB-06140,QUBR_2022_0908,TRUE,Moldy?,Green,0.093,,,DTB,TRUE
TCB-06141,QUBR_2022_0910,TRUE,Good,Green,0.130,,,DTB,TRUE
TCB-06142,QUBR_2022_0911,TRUE,1 Good; 1 Necrotic?,Green,0.072,,,DTB,TRUE
TCB-06143,QUBR_2022_0912,TRUE,Good,Green,0.037,,,DTB,TRUE
TCB-06144,QUBR_2022_0913,TRUE,Good,Green,0.029,,,DTB,TRUE
TCB-06145,QUBR_2022_0914,TRUE,Good,Green,0.034,,,DTB,TRUE
TCB-06146,QUBR_2022_0915,TRUE,1 Good; 1 Necrotic?,Green,0.047,,,DTB,TRUE
TCB-06147,QUBR_2022_0917,TRUE,1 Good; 1 Moldy,Green,0.130,,,DTB,TRUE
TCB-06148,QUBR_2022_0918,TRUE,Good,Green,0.089,some insects on the back of 1/2 leaves,,DTB,TRUE
TCB-06149,QUBR_2022_0919,TRUE,Good,Green,0.028,dark green color,,DTB,TRUE
TCB-06150,QUBR_2022_0920,TRUE,Good,Green,0.047,,,DTB,TRUE
TCB-06151,QUBR_2022_0922,TRUE,Good,Green,0.039,,,DTB,TRUE
TCB-06152,QUBR_2022_0923,TRUE,Good,Green,0.084,,,DTB,TRUE
TCB-06153,QUBR_2022_0925,TRUE,Good,Green,0.144,,,DTB,TRUE
TCB-06154,QUBR_2022_0926,TRUE,Good,Green,0.087,,,DTB,TRUE
TCB-06155,QUBR_2022_0927,TRUE,Good,Green,0.097,,,DTB,TRUE
TCB-06156,QUBR_2022_0928,TRUE,Good,Green,0.130,,,DTB,TRUE
TCB-06157,QUBR_2022_0929,TRUE,Good,Green,0.152,,,DTB,TRUE
TCB-06158,QUBR_2022_0931,TRUE,Good,Green,0.030,,,DTB,TRUE
TCB-06159,QUBR_2022_0932,TRUE,Good,Green,0.156,,,DTB,TRUE
TCB-06160,QUBR_2022_0934,TRUE,Good,Green,0.113,,,DTB,TRUE
TCB-06161,QUBR_2022_0935,TRUE,Good,Green,0.090,,,DTB,TRUE
TCB-06162,QUBR_2022_0936,TRUE,Good,Green,0.020,,,DTB,TRUE
TCB-06163,QUBR_2022_0937,TRUE,Good,Green,0.013,,,DTB,TRUE
TCB-06164,QUBR_2022_0938,TRUE,Good,Green,0.059,,,DTB,TRUE
TCB-06165,QUBR_2022_0942,TRUE,Good,Green,0.055,,,DTB,TRUE
TCB-06166,QUBR_2022_0944,TRUE,Good,Green,0.062,,,DTB,TRUE
TCB-06167,QUBR_2022_0945,TRUE,Good,Green,0.146,,,DTB,TRUE
TCB-06168,QUBR_2022_0946,TRUE,Good,Green,0.064,,,DTB,TRUE
TCB-06169,QUBR_2022_0947,TRUE,Good,Green,0.109,,,DTB,TRUE
TCB-06170,QUBR_2022_0948,TRUE,Good,Green,0.067,,,DTB,TRUE
TCB-06171,QUBR_2022_0951,TRUE,Good,Green,0.158,,,DTB,TRUE
TCB-06172,QUBR_2022_0952,TRUE,1 Good; 1 Necrotic,Green,0.114,,,DTB,TRUE
TCB-06173,QUBR_2022_1000,TRUE,Good,Green,0.158,,,DTB,TRUE
TCB-06174,QUBR_2022_1001,TRUE,Good,Green,0.101,,,DTB,TRUE
TCB-06175,QUBR_2022_1002,TRUE,Good,Green,0.081,,,DTB,TRUE
TCB-06176,QUBR_2022_1009,TRUE,Good,Green,0.096,,,DTB,TRUE
TCB-06177,QUBR_2022_1106,TRUE,Good,Green,0.074,,,DTB,TRUE
TCB-06178,QUBR_2022_1007,TRUE,Good?,Green/Brown,0.041,white lines on back of leaf tissue,,DTB,TRUE
TCB-06179,QUBR_2022_1006,TRUE,Good,Green,0.045,,,DTB,TRUE
TCB-06180,QUBR_2022_1005,TRUE,Good,Green,0.154,,,DTB,TRUE
TCB-06181,QUBR_2022_1004,TRUE,Necrotic?,Green/Brown,0.048,starting necrosis on one half of the leaf,,DTB,TRUE
TCB-06182,QUBR_2022_1003,TRUE,Good,Green,0.114,,,DTB,TRUE
TCB-06183,QUBR_2022_1078,TRUE,Good,Green,0.119,,,DTB,TRUE
TCB-06184,QUBR_2022_1088,TRUE,Good?,Green,0.058,white splotches,,DTB,TRUE
TCB-06185,QUBR_2022_1089,TRUE,Good,Green,0.100,,,DTB,TRUE
TCB-06186,QUBR_2022_1090,TRUE,Good,Green,0.032,,,DTB,TRUE
TCB-06187,QUBR_2022_1091,TRUE,1 Good; 1 Necrotic,Green/Brown,0.184,"necrosis is beginning on smaller leaf, half the fissure is dark",,DTB,TRUE
TCB-06188,QUBR_2022_1092,TRUE,Good,Green,0.059,,,DTB,TRUE
TCB-06189,QUBR_2022_1087,TRUE,Good?,Green,0.102,small brown and white spots,,DTB,TRUE
TCB-06190,QUBR_2022_1081,TRUE,Good,Green,0.032,,,DTB,TRUE
TCB-06191,QUBR_2022_1082,TRUE,Good,Green,0.131,,,DTB,TRUE
TCB-06192,QUBR_2022_1086,TRUE,Good?,Green/Brown,0.087,darker tissue with spots,,DTB,TRUE
TCB-06193,QUBR_2022_1083,TRUE,1 Good; 1 Necrotic,Green/Brown,0.056,1 leaf is beginning necrosis,,DTB,TRUE
TCB-06194,QUBR_2022_1085,TRUE,Good,Green,0.051,,,DTB,TRUE
TCB-06195,QUBR_2022_1084,TRUE,Good,Green,0.176,,,DTB,TRUE
TCB-06196,QUBR_2022_1103,TRUE,Good,Green,0.080,,,DTB,TRUE
TCB-06197,QUBR_2022_1116,TRUE,Good,Green,0.131,white splotches,,DTB,TRUE
TCB-06198,QUBR_2022_1102,TRUE,Good,Green,0.090,,,DTB,TRUE
TCB-06199,QUBR_2022_1105,TRUE,Good,Green,0.066,,,DTB,TRUE
TCB-06200,QUBR_2022_1113,TRUE,Good?,Green,0.140,lots of small white dots,,DTB,TRUE
TCB-06201,QUBR_2022_1111,TRUE,Good?,Green,0.036,lots of tiny white spots,,DTB,TRUE
TCB-06202,QUBR_2022_1115,TRUE,Good,Green,0.171,,,DTB,TRUE
TCB-06203,QUBR_2022_1118,TRUE,Good,Green,0.091,one leaf with white splotches,,DTB,TRUE
TCB-06204,QUBR_2022_1119,TRUE,Good,Green,0.033,,,DTB,TRUE
TCB-06205,QUBR_2022_1120,TRUE,Good,Green,0.132,,,DTB,TRUE
TCB-06206,QUBR_2022_1122,TRUE,Good,Green,0.196,,,DTB,TRUE
TCB-06207,QUBR_2022_1121,TRUE,Good,Green,0.218,,,DTB,TRUE
TCB-06208,QUBR_2022_1123,TRUE,Good,Green,0.025,,,DTB,TRUE
TCB-06209,QUBR_2022_1077,TRUE,Good,Green,0.044,,,DTB,TRUE
TCB-06210,QUBR_2022_1034,TRUE,Good?,Green,0.088,yellow/brown spot on one leaf,,DTB,TRUE
TCB-06211,QUBR_2022_1036,TRUE,Good?,Green,0.173,white splotches and brown spot,,DTB,TRUE
TCB-06212,QUBR_2022_1110,TRUE,Good?,Green/Black,0.094,white splotches,,DTB,TRUE
TCB-06213,QUBR_2022_1039,TRUE,Good,Green,0.129,,,DTB,TRUE
TCB-06214,QUBR_2022_1040,TRUE,Good,Green,0.010,,,DTB,TRUE
TCB-06215,QUBR_2022_1041,TRUE,Good,Green,0.116,,,DTB,TRUE
TCB-06216,QUBR_2022_1042,TRUE,Good,Green,0.033,,,DTB,TRUE
TCB-06217,QUBR_2022_1043,TRUE,Good,Green,0.121,,,DTB,TRUE
TCB-06218,QUBR_2022_1044,TRUE,Good,Green,0.106,,,DTB,TRUE
TCB-06219,QUBR_2022_1045,TRUE,Good,Green,0.129,,,DTB,TRUE
TCB-06220,QUBR_2022_1047,TRUE,Good,Green,0.049,,,DTB,TRUE
TCB-06221,QUBR_2022_1048,TRUE,Good?,Green/Brown,0.036,dark black/brown spot in the middle of the tissue,,DTB,TRUE
TCB-06222,QUBR_2022_1049,TRUE,Good?,Green,0.100,scattered tiny white spots,,DTB,TRUE
TCB-06223,QUBR_2022_1101,TRUE,Good,Green,0.109,,,DTB,TRUE
TCB-06224,QUBR_2022_1104,TRUE,Good,Green,0.040,,,DTB,TRUE
TCB-06225,QUBR_2022_1107,TRUE,Good,Green,0.066,,,DTB,TRUE
TCB-06226,QUBR_2022_1108,TRUE,Good,Green,0.090,,,DTB,TRUE
TCB-06227,QUBR_2022_1108B,TRUE,Good?,Green/Brown,0.043,1/2 dark margins,,DTB,TRUE
TCB-06228,QUBR_2022_1112,TRUE,Good,Green,0.177,,,DTB,TRUE
TCB-06229,QUBR_2022_1117,TRUE,Good,Green,0.209,,,DTB,TRUE
TCB-06230,QUBR_2022_1051,TRUE,Good,Green,0.056,,,DTB,TRUE
TCB-06231,QUBR_2022_1052,TRUE,Good,Green,0.048,,,DTB,TRUE
TCB-06232,QUBR_2022_1054,TRUE,Good,Green,0.099,,,DTB,TRUE
TCB-06233,QUBR_2022_1059,TRUE,Good,Green,0.050,,,DTB,TRUE
TCB-06234,QUBR_2022_1060,TRUE,Good?,Green/Brown,0.112,1/2 white splotches; 1/2 brown spots,,DTB,TRUE
TCB-06235,QUBR_2022_1062,TRUE,Good,Green,0.037,,,DTB,TRUE
TCB-06236,QUBR_2022_1064,TRUE,Good,Green,0.100,,,DTB,TRUE
TCB-06237,QUBR_2022_1065,TRUE,Good,Green,0.136,,,DTB,TRUE
TCB-06238,QUBR_2022_1066,TRUE,Good,Green,0.208,,,DTB,TRUE
TCB-06239,QUBR_2022_1067,TRUE,Good,Green,0.111,,,DTB,TRUE
TCB-06240,QUBR_2022_1068,TRUE,Good,Green,0.071,,,DTB,TRUE
TCB-06241,QUBR_2022_1075,TRUE,Good,Green,0.143,,,DTB,TRUE
TCB-06242,QUBR_2022_1079,TRUE,Good,Green,0.147,,,DTB,TRUE
TCB-06243,QUBR_2022_1080,TRUE,Good,Green,0.074,,,DTB,TRUE
TCB-06244,QUBR_2022_1097,TRUE,Good,Green,0.040,,,DTB,TRUE
TCB-06245,QUBR_2022_1098,TRUE,Good,Green,0.078,,,DTB,TRUE
TCB-06246,QUBR_2022_1124,TRUE,Good,Green,0.096,,,DTB,TRUE
TCB-06247,QUBR_2022_1125,TRUE,Good,Green,0.030,,,DTB,TRUE
TCB-06248,QUBR_2022_1126,TRUE,Good,Green,0.096,,,DTB,TRUE
