Tree Conservation Biology (TCB) ID,Accession ID,Both paper labels transfered into bag?,"Leaf Tissue Condition (Moldy, Necrotic, or Good)","Leaf Tissue Color (Green, Brown, Black)",Weight (g),Comments,Transcriber comments,Transcribe Initials,Double checked?
TCB-06249,QUBR_2022_1127,TRUE,Good,Green,0.098,white splotches,,DTB,TRUE
TCB-06250,QUBR_2022_0785,TRUE,Good,Green/Brown,0.037,,,DTB,TRUE
TCB-06251,QUBR_2022_0786,TRUE,Good,Green,0.067,,,DTB,TRUE
TCB-06252,QUBR_2022_0787,TRUE,Good,Green,0.094,,,DTB,TRUE
TCB-06253,QUBR_2022_0788,TRUE,Good,Green,0.070,,,DTB,TRUE
TCB-06254,QUBR_2022_0789,TRUE,Good,Green,0.041,,,DTB,TRUE
TCB-06255,QUBR_2022_0790,TRUE,Good,Green,0.022,,,DTB,TRUE
TCB-06256,QUBR_2022_0791,TRUE,Good?,Green,0.035,yellowish color,,DTB,TRUE
TCB-06257,QUBR_2022_0792,TRUE,Good,Green,0.070,,,DTB,TRUE
TCB-06258,QUBR_2022_0793,TRUE,Good,Green,0.034,,,DTB,TRUE
TCB-06259,QUBR_2022_0794,TRUE,Good,Green,0.033,,,DTB,TRUE
TCB-06260,QUBR_2022_0795,TRUE,Good,Green,0.060,,,DTB,TRUE
TCB-06261,QUBR_2022_0796,TRUE,Good,Green,0.028,,,DTB,TRUE
TCB-06262,QUBR_2022_0797,TRUE,Good,Green,0.024,,,DTB,TRUE
TCB-06263,QUBR_2022_0798,TRUE,Good,Green,0.058,,,DTB,TRUE
TCB-06264,QUBR_2022_0799,TRUE,Good,Green,0.015,,,DTB,TRUE
TCB-06265,QUBR_2022_0800,TRUE,Good,Green,0.041,,,DTB,TRUE
TCB-06266,QUBR_2022_0801,TRUE,Good,Green,0.045,,,DTB,TRUE
TCB-06267,QUBR_2022_0802,TRUE,Good,Green,0.031,,,DTB,TRUE
TCB-06268,QUBR_2022_0804,TRUE,Good,Green,0.054,,,DTB,TRUE
TCB-06269,QUBR_2022_0805,TRUE,Good,Green,0.043,,,DTB,TRUE
TCB-06270,QUBR_2022_0806,TRUE,Good,Green,0.079,1 brown spot,,DTB,TRUE
TCB-06271,QUBR_2022_0807,TRUE,Good,Green,0.056,,,DTB,TRUE
TCB-06272,QUBR_2022_0809,TRUE,Good,Green,0.049,,,DTB,TRUE
TCB-06273,QUBR_2022_0811,TRUE,Good?,Green/Brown,0.086,1/2 with many brown spots,,DTB,TRUE
TCB-06274,QUBR_2022_0812,TRUE,Good,Green,0.059,,,DTB,TRUE
TCB-06275,QUBR_2022_0814,TRUE,Good,Green,0.043,,,DTB,TRUE
TCB-06276,QUBR_2022_0815,TRUE,Good,Green,0.027,,,DTB,TRUE
TCB-06277,QUBR_2022_0816,TRUE,Good,Green/Brown,0.069,,,DTB,TRUE
TCB-06278,QUBR_2022_0817,TRUE,Good,Green,0.028,,,DTB,TRUE
TCB-06279,QUBR_2022_0818,TRUE,Good,Green,0.047,,,DTB,TRUE
TCB-06280,QUBR_2022_0819,TRUE,Good,Green,0.129,white splotches,,DTB,TRUE
TCB-06281,QUBR_2022_0821,TRUE,Good,Green,0.017,,,DTB,TRUE
TCB-06282,QUBR_2022_0822,TRUE,Good,Green,0.058,,,DTB,TRUE
TCB-06283,QUBR_2022_0823,TRUE,Good,Green,0.011,,,DTB,TRUE
TCB-06284,QUBR_2022_0824,TRUE,Good,Green,0.063,,,DTB,TRUE
TCB-06285,QUBR_2022_0825,TRUE,Good,Green,0.073,,,DTB,TRUE
TCB-06286,QUBR_2022_0826,TRUE,Good,Green,0.047,,,DTB,TRUE
TCB-06287,QUBR_2022_0827,TRUE,Good?,Green,0.110,,,DTB,TRUE
TCB-06288,QUBR_2022_0828,TRUE,Good,Green,0.044,,,DTB,TRUE
TCB-06289,QUBR_2022_0829,TRUE,Good,Green,0.065,,,DTB,TRUE
TCB-06290,QUBR_2022_0830,TRUE,Good,Green,0.040,,,DTB,TRUE
TCB-06291,QUBR_2022_0831,TRUE,Good,Green,0.032,,,DTB,TRUE
TCB-06292,QUBR_2022_0833,TRUE,Good,Green/Brown,0.024,,,DTB,TRUE
TCB-06293,QUBR_2022_0838,TRUE,Good,Green,0.041,,,DTB,TRUE
TCB-06294,QUBR_2022_0839,TRUE,Good,Green,0.028,,,DTB,TRUE
TCB-06295,QUBR_2022_0840,TRUE,Good,Green,0.116,,,DTB,TRUE
TCB-06296,QUBR_2022_0841,TRUE,Good,Green,0.085,,,DTB,TRUE
TCB-06297,QUBR_2022_0842,TRUE,Good?,Green,0.041,,,DTB,TRUE
TCB-06298,QUBR_2022_0843,TRUE,Good,Green,0.038,,,DTB,TRUE
TCB-06299,QUBR_2022_0844,TRUE,Good,Green,0.053,,,DTB,TRUE
TCB-06300,QUBR_2022_0845,TRUE,Good?,Green,0.019,,,DTB,TRUE
TCB-06301,QUBR_2022_0846,TRUE,Good,Green,0.078,,,DTB,TRUE
TCB-06302,QUBR_2022_0847,TRUE,Good,Green,0.043,,,DTB,TRUE
TCB-06303,QUBR_2022_0848,TRUE,Good,Green,0.076,,,DTB,TRUE
TCB-06304,QUBR_2022_0849,TRUE,Good,Green,0.061,,,DTB,TRUE
TCB-06305,QUBR_2022_0850,TRUE,Good,Green,0.116,,,DTB,TRUE
TCB-06306,QUBR_2022_0851,TRUE,Good,Green,0.022,,,DTB,TRUE
TCB-06307,QUBR_2022_0852,TRUE,Good,Green,0.040,,,DTB,TRUE
TCB-06308,QUBR_2022_0854,TRUE,Good,Green,0.066,,,DTB,TRUE
TCB-06309,QUBR_2022_0855,TRUE,1 Good; 1 Necrotic,Green/Black,0.038,,,DTB,TRUE
TCB-06310,QUBR_2022_0856,TRUE,Good,Green,0.110,,,DTB,TRUE
TCB-06311,QUBR_2022_0857,TRUE,Good,Green,0.058,,,DTB,TRUE
TCB-06312,QUBR_2022_0858,TRUE,Good,Green,0.101,,,DTB,TRUE
TCB-06313,QUBR_2022_0859,TRUE,Good?,Green,0.064,large brown patch on the bigger leaf,,DTB,TRUE
TCB-06314,QUBR_2022_0860,TRUE,Good,Green,0.017,,,DTB,TRUE
TCB-06315,QUBR_2022_0861,TRUE,Good,Green,0.081,,,DTB,TRUE
TCB-06316,QUBR_2022_0862,TRUE,Good,Green,0.054,,,DTB,TRUE
TCB-06317,QUBR_2022_0863,TRUE,Good,Green,0.036,,,DTB,TRUE
TCB-06318,QUBR_2022_0864,TRUE,Good,Green,0.067,,,DTB,TRUE
TCB-06319,QUBR_2022_0865,TRUE,Good?,Green,0.134,,,DTB,TRUE
TCB-06320,QUBR_2022_0866,TRUE,Good?,Green/Black,0.061,,,DTB,TRUE
TCB-06321,QUBR_2022_0868,TRUE,Good,Green,0.063,large white spot on folded leaf,,DTB,TRUE
TCB-06322,QUBR_2022_1175,TRUE,Good,Green,0.027,,,DTB,TRUE
TCB-06323,QUBR_2022_1174,TRUE,1 Good; 1 Necrotic?,Green/Brown,0.068,large brown patches on the back of the leaf,,DTB,TRUE
TCB-06324,QUBR_2022_1173,TRUE,Good,Green,0.082,,,DTB,TRUE
TCB-06325,QUBR_2022_1171,TRUE,Good,Green,0.079,,,DTB,TRUE
TCB-06326,QUBR_2022_0897,TRUE,Good?,Green,0.104,both leaves have white spots and small brown dots,,DTB,TRUE
TCB-06327,QUBR_2022_0896,TRUE,1 Good; 1 Necrotic,Green/Brown,0.030,necrosis beginning on smaller leaf,,DTB,TRUE
TCB-06328,QUBR_2022_0878,TRUE,Good,Green,0.153,,,DTB,TRUE
TCB-06329,QUBR_2022_0881,TRUE,Good,Green,0.091,,,DTB,TRUE
TCB-06330,QUBR_2022_0879,TRUE,Good,Green,0.081,,,DTB,TRUE
TCB-06331,QUBR_2022_0883,TRUE,1 Good; 1 Necrotic,Green/Brown,0.066,one leaf with half brown tissue due to necrosis,,DTB,TRUE
TCB-06332,QUBR_2022_0898,TRUE,Good,Green,0.069,,,DTB,TRUE
TCB-06333,QUBR_2022_0880,TRUE,Good?,Green,0.112,white splotches,,DTB,TRUE
TCB-06334,QUBR_2022_0885,TRUE,Good,Green,0.044,,,DTB,TRUE
TCB-06335,QUBR_2022_0899,TRUE,Necrotic,Green/Black,0.017,both leaves have started necrosis,,DTB,TRUE
TCB-06336,QUBR_2022_0882,TRUE,Good,Green,0.025,,,DTB,TRUE
TCB-06337,QUBR_2022_0871,TRUE,Good?,Green,0.056,two large raised white bumps on back of leaf,,DTB,TRUE
TCB-06338,QUBR_2022_0873,TRUE,Good,Green,0.039,,,DTB,TRUE
TCB-06339,QUBR_2022_0874,TRUE,Good,Green,0.046,,,DTB,TRUE
TCB-06340,QUBR_2022_0875,TRUE,Good?,Green,0.080,white spots and white film on smaller leaf,,DTB,TRUE
TCB-06341,QUBR_2022_0876,TRUE,Good?,Green,0.085,,,DTB,TRUE
TCB-06342,QUBR_2022_0877,TRUE,Good,Green,0.075,,,DTB,TRUE
TCB-06343,QUBR_2022_1153,TRUE,Good,Green,0.039,,,DTB,TRUE
TCB-06344,QUBR_2022_0884,TRUE,Good,Green,0.072,,,DTB,TRUE
TCB-06345,QUBR_2022_0886,TRUE,Good?,Green,0.096,,,DTB,TRUE
TCB-06346,QUBR_2022_0887,TRUE,Good,Green/Brown,0.041,,,DTB,TRUE
TCB-06347,QUBR_2022_0869,TRUE,Good,Green,0.019,,,DTB,TRUE
TCB-06348,QUBR_2022_0872,TRUE,Good,Green,0.053,,,DTB,TRUE
TCB-06349,QUBR_2022_0870,TRUE,1 Good; 1 Necrotic,Green/Black,0.030,,,DTB,TRUE
TCB-06350,QUBR_2022_1150,TRUE,Good,Green,0.027,,,DTB,TRUE
TCB-06351,QUBR_2022_1155,TRUE,Good,Green,0.042,,,DTB,TRUE
TCB-06352,QUBR_2022_1151,TRUE,Good,Green,0.048,,,DTB,TRUE
TCB-06353,QUBR_2022_0888,TRUE,Good,Green,0.051,,,DTB,TRUE
TCB-06354,QUBR_2022_0889,TRUE,Good?,Green,0.058,,,DTB,TRUE
TCB-06355,QUBR_2022_0890,TRUE,Good,Green,0.205,,,DTB,TRUE
TCB-06356,QUBR_2022_0853,TRUE,Moldy,Green/Brown,0.026,,,DTB,TRUE
TCB-06357,QUBR_2022_0894,TRUE,Necrotic,Green/Brown,0.028,,,DTB,TRUE
TCB-06358,QUBR_2022_0891,TRUE,Good,Green,0.160,,,DTB,TRUE
TCB-06359,QUBR_2022_0892,TRUE,2 Good; 1 Necrotic?,Green/Brown,0.028,,,DTB,TRUE
TCB-06360,QUBR_2022_1156,TRUE,Good,Green,0.095,,,DTB,TRUE
TCB-06361,QUBR_2022_0893,TRUE,Good,Green,0.093,,,DTB,TRUE
TCB-06362,QUBR_2022_1152,TRUE,1 Good?; 1 Necrotic,Green/Brown/Black,0.032,"smaller leaf completely black, large brown spots and holes",,DTB,TRUE
TCB-06363,QUBR_2022_0895,TRUE,Good?,Green,0.079,white spots,,DTB,TRUE
TCB-06364,QUBR_2022_1154,TRUE,Good,Green,0.016,,,DTB,TRUE
TCB-06365,QUBR_2022_1157,TRUE,Good,Green,0.058,,,DTB,TRUE
TCB-06366,QUBR_2022_1159,TRUE,Good,Green,0.024,,,DTB,TRUE
TCB-06367,QUBR_2022_1158,TRUE,Good,Green,0.069,,,DTB,TRUE
TCB-06368,QUBR_2022_1160,TRUE,Good,Green,0.028,,,DTB,TRUE
TCB-06369,QUBR_2022_1161,TRUE,Good,Green,0.078,,,DTB,TRUE
TCB-06370,QUBR_2022_1163,TRUE,Good?,Green/Brown,0.076,dark brown spots scattered on leaves,,DTB,TRUE
TCB-06371,QUBR_2022_1164,TRUE,Good,Green,0.069,,,DTB,TRUE
TCB-06372,QUBR_2022_1166,TRUE,Good,Green,0.055,,,DTB,TRUE
TCB-06373,QUBR_2022_1165,TRUE,Good?,Green,0.064,scattered small brown dots,,DTB,TRUE
TCB-06374,QUBR_2022_1167,TRUE,Good,Green,0.061,,,DTB,TRUE
TCB-06375,QUBR_2022_1168,TRUE,Good?,Green,0.074,some brown edges,,DTB,TRUE
TCB-06376,QUBR_2022_1169,TRUE,Good?,Green,0.087,brown patches,,DTB,TRUE
TCB-06377,QUBR_2022_1170,TRUE,Good,Green,0.024,,,DTB,TRUE
TCB-06378,QUBR_2022_1172,TRUE,Good,Green,0.033,,,DTB,TRUE
TCB-06379,QUBR_2022_1176,TRUE,Good,Green,0.120,,,DTB,TRUE
TCB-06380,QUBR_2022_1177,TRUE,Good,Green,0.053,,,DTB,TRUE
TCB-06381,QUBR_2022_1178,TRUE,Good,Green,0.021,,,DTB,TRUE
TCB-06382,QUBR_2022_1179,TRUE,Good,Green,0.133,,,DTB,TRUE
TCB-06383,QUBR_2022_1180,TRUE,Good,Green,0.054,,,DTB,TRUE
TCB-06384,QUBR_2022_1181,TRUE,Good,Green,0.080,,,DTB,TRUE
TCB-06385,QUBR_2022_1183,TRUE,Good?,Green,0.035,,,DTB,TRUE
TCB-06386,QUBR_2022_1184,TRUE,Good,Green,0.132,,,DTB,TRUE
TCB-06387,QUBR_2022_1185,TRUE,Good,Green,0.050,,,DTB,TRUE
TCB-06388,QUBR_2022_1186,TRUE,1 Good; 1 Necrotic,Green/Black,0.091,,,DTB,TRUE
TCB-06389,QUBR_2022_1187,TRUE,1 Good; 1 Good?,Green,0.034,,,DTB,TRUE
TCB-06390,QUBR_2022_1188,TRUE,1 Good; 1 Necrotic,Green/Black,0.031,,,DTB,TRUE
TCB-06391,QUBR_2022_1189,TRUE,Good,Green,0.095,,,DTB,TRUE
TCB-06392,QUBR_2022_1190,TRUE,1 Good; 1 Necrotic?,Green,0.040,,,DTB,TRUE
TCB-06393,QUBR_2022_1191,TRUE,Good,Green,0.151,,,DTB,TRUE
TCB-06394,QUBR_2022_1193,TRUE,Good,Green,0.037,,,DTB,TRUE
TCB-06395,QUBR_2022_1194,TRUE,Good,Green,0.060,,,DTB,TRUE
TCB-06396,QUBR_2022_1195,TRUE,Good,Green,0.066,,,DTB,TRUE
TCB-06397,QUBR_2022_1196,TRUE,Good,Green,0.055,,,DTB,TRUE
TCB-06398,QUBR_2022_1197,TRUE,Good,Green,0.049,,,DTB,TRUE
TCB-06399,QUBR_2022_1198,TRUE,Good,Green,0.039,,,DTB,TRUE
TCB-06400,QUBR_2022_1199,TRUE,Good,Green,0.046,,,DTB,TRUE
TCB-06401,QUBR_2022_1200,TRUE,Good,Green,0.037,,,DTB,TRUE
TCB-06402,QUBR_2022_1201,TRUE,Good,Green,0.048,,,DTB,TRUE
TCB-06403,QUBR_2022_1203,TRUE,Good,Green/Brown,0.087,,,DTB,TRUE
TCB-06404,QUBR_2022_1204,TRUE,Good,Green,0.045,,,DTB,TRUE
TCB-06405,QUBR_2022_1205,TRUE,Good,Green,0.022,,,DTB,TRUE
TCB-06406,QUBR_2022_1207,TRUE,Good,Green,0.047,,,DTB,TRUE
TCB-06407,QUBR_2022_1208,TRUE,1 Good; 1 Necrotic,Green/Black,0.042,,,DTB,TRUE
TCB-06408,QUBR_2022_1209,TRUE,1 Good; 1 Necrotic,Green/Black,0.066,,,DTB,TRUE
TCB-06409,QUBR_2022_1210,TRUE,Good,Green,0.032,,,DTB,TRUE
TCB-06410,QUBR_2022_1211,TRUE,Good,Green,0.128,,,DTB,TRUE
TCB-06411,QUBR_2022_1212,TRUE,Good,Green,0.039,,,DTB,TRUE
TCB-06412,QUBR_2022_1213,TRUE,Good,Green,0.060,,,DTB,TRUE
TCB-06413,QUBR_2022_1214,TRUE,Good,Green,0.099,,,DTB,TRUE
TCB-06414,QUBR_2022_1215,TRUE,1 Good; 1 Necrotic?,Green,0.060,,,DTB,TRUE
TCB-06415,QUBR_2022_1216,TRUE,Good,Green,0.053,,,DTB,TRUE
TCB-06416,QUBR_2022_1217,TRUE,Good,Green,0.056,,,DTB,TRUE
TCB-06417,QUBR_2022_1218,TRUE,1 Good; 1 Necrotic,Green/Black,0.030,,,DTB,TRUE
TCB-06418,QUBR_2022_1219,TRUE,Good,Green,0.041,,,DTB,TRUE
TCB-06419,QUBR_2022_1220,TRUE,1 Good; 1 Necrotic,Green/Black,0.057,,,DTB,TRUE
TCB-06420,QUBR_2022_1221,TRUE,Good,Green,0.031,,,DTB,TRUE
TCB-06421,QUBR_2022_1222,TRUE,Good,Green,0.080,,,DTB,TRUE
TCB-06422,QUBR_2022_1223,TRUE,Good,Green,0.045,,,DTB,TRUE
TCB-06423,QUBR_2022_1225,TRUE,Good,Green,0.040,,,DTB,TRUE
TCB-06424,QUBR_2022_1226,TRUE,Good,Green,0.082,,,DTB,TRUE
TCB-06425,QUBR_2022_1227,TRUE,Good,Green,0.098,,,DTB,TRUE
TCB-06426,QUBR_2022_1228,TRUE,Good,Green,0.097,,,DTB,TRUE
TCB-06427,QUBR_2022_1229,TRUE,Good,Green,0.100,,,DTB,TRUE
TCB-06428,QUBR_2022_1231,TRUE,Good,Green,0.079,,,DTB,TRUE
TCB-06429,QUBR_2022_1224,TRUE,Good,Green,0.093,,,DTB,TRUE
TCB-06430,QUBR_2022_1230,TRUE,Necrotic?,Green/Black,0.045,,,DTB,TRUE
TCB-06431,QUBR_2022_1232,TRUE,Good,Green,0.136,,,DTB,TRUE
TCB-06432,QUBR_2022_1233,TRUE,Good,Green,0.068,,,DTB,TRUE
TCB-06433,QUBR_2022_1234,TRUE,Good,Green,0.138,,,DTB,TRUE
TCB-06434,QUBR_2022_1235,TRUE,Good,Green,0.055,,,DTB,TRUE
TCB-06435,QUBR_2022_1236,TRUE,Good,Green,0.024,,,DTB,TRUE
TCB-06436,QUBR_2022_1237,TRUE,1 Good; 1 Good?,Green,0.107,,,DTB,TRUE
TCB-06437,QUBR_2022_1238,TRUE,Good,Green,0.068,,,DTB,TRUE
TCB-06438,QUBR_2022_1239,TRUE,Good,Green,0.059,,,DTB,TRUE
TCB-06439,QUBR_2022_1240,TRUE,Good,Green,0.079,,,DTB,TRUE
TCB-06440,QUBR_2022_1241,TRUE,Good,Green,0.077,,,DTB,TRUE
TCB-06441,QUBR_2022_1242,TRUE,Good,Green,0.060,,,DTB,TRUE
TCB-06442,QUBR_2022_12433,TRUE,Good,Green,0.068,,,DTB,TRUE
TCB-06443,QUBR_2022_1244,TRUE,Good,Green,0.064,,,DTB,TRUE
TCB-06444,QUBR_2022_1245,TRUE,Good,Green,0.052,,,DTB,TRUE
TCB-06445,QUBR_2022_1246,TRUE,Good,Green,0.108,,,DTB,TRUE
TCB-06446,QUBR_2022_1248,TRUE,Good,Green,0.062,,,DTB,TRUE
TCB-06447,QUBR_2022_1249,TRUE,Good,Green,0.017,,,DTB,TRUE
TCB-06448,QUBR_2022_1250,TRUE,Good,Green,0.088,,,DTB,TRUE
TCB-06449,QUBR_2022_1251,TRUE,Good,Green,0.142,,,DTB,TRUE
TCB-06450,QUBR_2022_1252,TRUE,Good,Green,0.102,,,DTB,TRUE
TCB-06451,QUBR_2022_1253A,TRUE,Good,Green,0.085,,This accession ID is the same as TCB-06453. Both slips of paper in samples TCB-06451 and TCB-06453 read QUBR_2022_1253. I think that the one for TCB-06453 is incorrect and the accession ID should be QUBR_2022_1255,DTB,TRUE
TCB-06452,QUBR_2022_1254,TRUE,Good,Green,0.035,,,DTB,TRUE
TCB-06453,QUBR_2022_1253B,TRUE,Good,Green,0.086,,,DTB,TRUE
TCB-06454,QUBR_2022_1256,TRUE,Good,Green,0.076,,,DTB,TRUE
TCB-06455,QUBR_2022_1257,TRUE,Good,Green,0.082,,,DTB,TRUE
TCB-06456,QUBR_2022_1258,TRUE,Good?,Green,0.097,,,DTB,TRUE
TCB-06457,QUBR_2022_1259,TRUE,Good,Green,0.058,,,DTB,TRUE
TCB-06458,QUBR_2022_1260,TRUE,Good,Green,0.058,,,DTB,TRUE
TCB-06459,QUBR_2022_1261,TRUE,Good,Green,0.207,,,DTB,TRUE
TCB-06460,QUBR_2022_1262,TRUE,Good,Green,0.027,,,DTB,TRUE
TCB-06461,QUBR_2022_1263,TRUE,Good?,Green,0.103,,,DTB,TRUE
TCB-06462,QUBR_2022_1264,TRUE,Good?,Green/Brown,0.069,brown splotches on 1/2,,DTB,TRUE
TCB-06463,QUBR_2022_1266,TRUE,Good,Green,0.051,,,DTB,TRUE
TCB-06464,QUBR_2022_1267,TRUE,Good,Green,0.095,,,DTB,TRUE
TCB-06465,QUBR_2022_1268,TRUE,Good,Green,0.056,,,DTB,TRUE
TCB-06466,QUBR_2022_1202A,TRUE,Good,Green,0.070,2 leaves,,DTB,TRUE
TCB-06467,QUBR_2022_1202B,TRUE,Good,Green,0.064,2 leaves,,DTB,TRUE
TCB-06468,QUBR_2022_,,,,,,,,
TCB-06469,QUBR_2022_,,,,,,,,
TCB-06470,QUBR_2022_,,,,,,,,
TCB-06471,QUBR_2022_,,,,,,,,
TCB-06472,QUBR_2022_,,,,,,,,
TCB-06473,QUBR_2022_,,,,,,,,
TCB-06474,QUBR_2022_,,,,,,,,
TCB-06475,QUBR_2022_,,,,,,,,
TCB-06476,QUBR_2022_,,,,,,,,
TCB-06477,QUBR_2022_,,,,,,,,
TCB-06478,QUBR_2022_,,,,,,,,
TCB-06479,QUBR_2022_,,,,,,,,
TCB-06480,QUBR_2022_,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,